amount,payments,A4,A15,A16
84288,1756.0,45714,818.0,888
300204,8339.0,67298,1029.0,1127
398640,6644.0,323870,18782.0,18347
100800,4200.0,102609,2123.0,2134
293160,4886.0,139012,2564.0,2799
158760,2646.0,78955,1655.0,1717
44088,1837.0,81344,2987.0,2487
15420,1285.0,128118,6949.0,6872
26208,728.0,45714,818.0,888
128268,3563.0,159617,5796.0,6132
74124,2059.0,107870,3804.0,3868
22260,371.0,285387,9878.0,10108
133848,5577.0,114006,4147.0,4166
309600,6450.0,226122,9672.0,9208
42900,3575.0,121947,3496.0,3839
27456,2288.0,161227,4980.0,4595
76908,6409.0,107870,3804.0,3868
156420,2607.0,139012,2564.0,2799
253512,7042.0,108871,2595.0,2305
333648,6951.0,177686,6604.0,6295
205200,5700.0,161954,3729.0,3651
7656,319.0,78955,1655.0,1717
321240,5354.0,177686,6604.0,6295
213300,5925.0,162580,6079.0,5410
85716,2381.0,74062,1003.0,1181
311232,6484.0,127369,3736.0,2807
181020,3017.0,78955,1655.0,1717
12540,1045.0,67298,1029.0,1127
98184,4091.0,114200,2157.0,2718
368880,6148.0,125832,2247.0,2103
60000,1000.0,226122,9672.0,9208
360864,7518.0,77963,2640.0,3120
230220,6395.0,53921,1597.0,1875
37944,1054.0,1204953,85677.0,99107
31260,2605.0,159617,5796.0,6132
405780,6763.0,145688,2719.0,2906
239160,3986.0,67298,1029.0,1127
182040,3034.0,51428,999.0,1099
541200,9020.0,285387,9878.0,10108
53232,1109.0,226122,9672.0,9208
44304,1846.0,85852,2653.0,2822
123408,5142.0,119895,4947.0,4743
88704,1848.0,87419,2879.0,3198
253200,4220.0,139012,2564.0,2799
44376,3698.0,58796,1845.0,1879
57060,4755.0,228848,5623.0,5887
44628,3719.0,53921,1597.0,1875
48312,2013.0,102609,2123.0,2134
36204,3017.0,102609,2123.0,2134
213300,3555.0,72541,1580.0,1525
116832,9736.0,103347,2299.0,2354
240528,5011.0,162580,6079.0,5410
191580,3193.0,121947,3496.0,3839
380160,6336.0,323870,18782.0,18347
17508,1459.0,323870,18782.0,18347
68340,1139.0,149893,5244.0,5892
23520,1960.0,107911,1850.0,1903
82896,6908.0,110643,1879.0,2252
188616,7859.0,108871,2595.0,2305
45720,3810.0,1204953,85677.0,99107
104964,8747.0,77963,2640.0,3120
202848,4226.0,127369,3736.0,2807
140688,2931.0,93931,1874.0,1913
276660,7685.0,124605,2854.0,3158
38148,3179.0,1204953,85677.0,99107
90156,7513.0,42821,14861.621661721068,1358
99336,4139.0,228848,5623.0,5887
45024,938.0,285387,9878.0,10108
247920,5165.0,106054,3244.0,3079
188688,3931.0,197099,4484.0,4265
50460,841.0,75637,3475.0,3529
288720,6015.0,121947,3496.0,3839
91584,3816.0,1204953,85677.0,99107
153144,4254.0,67298,1029.0,1127
165120,2752.0,121947,3496.0,3839
8616,359.0,108871,2595.0,2305
48744,1354.0,148545,3460.0,3590
260640,7240.0,58400,1089.0,1117
95808,7984.0,122603,5198.0,5273
123600,2060.0,285387,9878.0,10108
67464,5622.0,125236,5323.0,5190
390660,6511.0,1204953,85677.0,99107
100980,1683.0,387570,18721.0,18696
161496,4486.0,226122,9672.0,9208
232560,4845.0,323870,18782.0,18347
57360,4780.0,77963,2640.0,3120
83628,2323.0,387570,18721.0,18696
33144,2762.0,285387,9878.0,10108
144960,3020.0,81344,2987.0,2487
59448,2477.0,75637,3475.0,3529
170448,3551.0,228848,5623.0,5887
249312,5194.0,170449,6041.0,6261
35856,1494.0,162580,6079.0,5410
194256,8094.0,42821,14861.621661721068,1358
224604,6239.0,51313,1328.0,1452
87840,3660.0,53921,1597.0,1875
177804,4939.0,95616,2616.0,3040
104808,8734.0,125832,2247.0,2103
139488,5812.0,75232,2824.0,2813
96768,2688.0,85852,2653.0,2822
71976,2999.0,161854,4085.0,3891
64224,2676.0,77963,2640.0,3120
111384,4641.0,51428,999.0,1099
42840,3570.0,285387,9878.0,10108
74352,3098.0,1204953,85677.0,99107
106128,2948.0,159617,5796.0,6132
45456,3788.0,53921,1597.0,1875
207264,4318.0,95907,1658.0,1668
182640,3805.0,145688,2719.0,2906
68112,5676.0,138032,4063.0,4505
97980,1633.0,45714,818.0,888
21852,607.0,125236,5323.0,5190
33348,2779.0,81344,2987.0,2487
84120,3505.0,42821,14861.621661721068,1358
21072,878.0,149893,5244.0,5892
276084,7669.0,1204953,85677.0,99107
173808,7242.0,148545,3460.0,3590
248148,6893.0,72541,1580.0,1525
39576,3298.0,228848,5623.0,5887
136368,5682.0,58400,1089.0,1117
268320,4472.0,1204953,85677.0,99107
359760,5996.0,161854,4085.0,3891
274740,4579.0,1204953,85677.0,99107
194280,3238.0,1204953,85677.0,99107
19044,529.0,122603,5198.0,5273
178500,2975.0,182027,4355.0,4433
51360,4280.0,117897,2112.0,2059
220620,3677.0,70646,1563.0,1542
77640,6470.0,105606,2166.0,2325
185640,3094.0,112709,2854.0,2618
97632,8136.0,70646,1563.0,1542
99936,4164.0,1204953,85677.0,99107
58764,4897.0,387570,18721.0,18696
98592,4108.0,92084,3810.0,4316
37812,3151.0,67298,1029.0,1127
240900,4015.0,110643,1879.0,2252
46320,1930.0,133777,4650.0,4859
164052,4557.0,51313,1328.0,1452
182628,5073.0,138032,4063.0,4505
309660,5161.0,121947,3496.0,3839
168264,4674.0,182027,4355.0,4433
231168,4816.0,182027,4355.0,4433
49440,824.0,285387,9878.0,10108
59448,2477.0,285387,9878.0,10108
68544,2856.0,114006,4147.0,4166
280440,4674.0,387570,18721.0,18696
38520,3210.0,95907,1658.0,1668
91152,3798.0,105058,4340.0,4505
155760,6490.0,133777,4650.0,4859
25944,1081.0,118650,6445.0,5471
71460,1985.0,1204953,85677.0,99107
66840,2785.0,58796,1845.0,1879
60156,1671.0,93931,1874.0,1913
149040,3105.0,75637,3475.0,3529
38496,3208.0,94725,4289.0,4846
203940,3399.0,1204953,85677.0,99107
49044,4087.0,75637,3475.0,3529
44940,3745.0,1204953,85677.0,99107
92976,3874.0,51313,1328.0,1452
184620,3077.0,77917,2080.0,2122
27984,2332.0,139012,2564.0,2799
473280,7888.0,387570,18721.0,18696
78936,6578.0,1204953,85677.0,99107
22356,621.0,95616,2616.0,3040
119136,2482.0,114006,4147.0,4166
20220,1685.0,81344,2987.0,2487
49320,4110.0,122603,5198.0,5273
197748,5493.0,102609,2123.0,2134
192744,5354.0,145688,2719.0,2906
189300,3155.0,162580,6079.0,5410
198240,8260.0,118650,6445.0,5471
10944,304.0,125236,5323.0,5190
215040,3584.0,72541,1580.0,1525
61560,5130.0,51313,1328.0,1452
155880,6495.0,114006,4147.0,4166
79344,1653.0,87419,2879.0,3198
320592,6679.0,145688,2719.0,2906
98832,2059.0,95907,1658.0,1668
215388,5983.0,1204953,85677.0,99107
131292,3647.0,1204953,85677.0,99107
65184,5432.0,387570,18721.0,18696
141948,3943.0,228848,5623.0,5887
106944,4456.0,86513,1562.0,1460
63312,1319.0,149893,5244.0,5892
133968,2791.0,139012,2564.0,2799
67320,1870.0,95616,2616.0,3040
267600,5575.0,285387,9878.0,10108
54024,4502.0,117897,2112.0,2059
107352,2982.0,67298,1029.0,1127
31248,2604.0,1204953,85677.0,99107
389136,8107.0,107911,1850.0,1903
165960,4610.0,112709,2854.0,2618
84288,1756.0,161954,3729.0,3651
105804,2939.0,107870,3804.0,3868
110736,2307.0,51428,999.0,1099
538500,8975.0,95616,2616.0,3040
399120,6652.0,138032,4063.0,4505
67980,5665.0,125832,2247.0,2103
191088,3981.0,102609,2123.0,2134
67608,2817.0,387570,18721.0,18696
277884,7719.0,105606,2166.0,2325
107640,4485.0,88884,2159.0,2674
69624,1934.0,139012,2564.0,2799
288468,8013.0,86513,1562.0,1460
125472,5228.0,51428,999.0,1099
352704,7348.0,103347,2299.0,2354
271260,4521.0,114006,4147.0,4166
192744,5354.0,110643,1879.0,2252
396120,6602.0,51428,999.0,1099
300660,5011.0,128118,6949.0,6872
52236,1451.0,81344,2987.0,2487
68832,1912.0,1204953,85677.0,99107
294384,6133.0,387570,18721.0,18696
209184,4358.0,139012,2564.0,2799
103680,1728.0,95907,1658.0,1668
88440,7370.0,128118,6949.0,6872
34572,2881.0,1204953,85677.0,99107
23052,1921.0,387570,18721.0,18696
96396,8033.0,94812,2985.0,2804
11736,489.0,1204953,85677.0,99107
230220,6395.0,323870,18782.0,18347
177504,3698.0,51428,999.0,1099
185952,3874.0,125236,5323.0,5190
220428,6123.0,106054,3244.0,3079
31140,519.0,127369,3736.0,2807
385104,8023.0,387570,18721.0,18696
66696,2779.0,75232,2824.0,2813
225504,4698.0,94725,4289.0,4846
140400,3900.0,1204953,85677.0,99107
153936,6414.0,105606,2166.0,2325
116040,1934.0,387570,18721.0,18696
22968,638.0,93931,1874.0,1913
20832,434.0,85852,2653.0,2822
172272,7178.0,161227,4980.0,4595
71460,5955.0,157042,3659.0,3894
73056,1522.0,119895,4947.0,4743
52128,2172.0,94812,2985.0,2804
83628,2323.0,387570,18721.0,18696
99300,1655.0,108871,2595.0,2305
234336,4882.0,1204953,85677.0,99107
305424,6363.0,285387,9878.0,10108
75624,3151.0,387570,18721.0,18696
148920,2482.0,108871,2595.0,2305
331560,5526.0,107870,3804.0,3868
71064,1974.0,85852,2653.0,2822
30012,2501.0,78955,1655.0,1717
186300,3105.0,86513,1562.0,1460
73260,1221.0,285387,9878.0,10108
158184,4394.0,162580,6079.0,5410
108720,1812.0,77963,2640.0,3120
369000,6150.0,162580,6079.0,5410
18720,312.0,88757,1822.0,2218
80340,6695.0,75637,3475.0,3529
85632,1784.0,197099,4484.0,4265
24792,1033.0,86513,1562.0,1460
202788,5633.0,51313,1328.0,1452
109344,9112.0,285387,9878.0,10108
61056,1272.0,1204953,85677.0,99107
314520,5242.0,105606,2166.0,2325
110136,4589.0,1204953,85677.0,99107
212976,5916.0,1204953,85677.0,99107
93036,7753.0,387570,18721.0,18696
66480,2770.0,182027,4355.0,4433
72408,3017.0,51313,1328.0,1452
50976,1416.0,77917,2080.0,2122
390096,8127.0,112709,2854.0,2618
360000,7500.0,197099,4484.0,4265
124344,3454.0,161854,4085.0,3891
176328,4898.0,107911,1850.0,1903
137904,5746.0,75637,3475.0,3529
272520,4542.0,92084,3810.0,4316
19248,1604.0,75232,2824.0,2813
52512,4376.0,157042,3659.0,3894
93888,2608.0,86513,1562.0,1460
48672,1352.0,1204953,85677.0,99107
143676,3991.0,157042,3659.0,3894
83016,6918.0,285387,9878.0,10108
417600,6960.0,157042,3659.0,3894
93600,3900.0,81344,2987.0,2487
127080,2118.0,77917,2080.0,2122
77544,2154.0,88884,2159.0,2674
164196,4561.0,197099,4484.0,4265
69600,1450.0,197099,4484.0,4265
176148,4893.0,85852,2653.0,2822
162576,4516.0,159617,5796.0,6132
17184,1432.0,1204953,85677.0,99107
76080,6340.0,95616,2616.0,3040
133800,5575.0,107870,3804.0,3868
174744,7281.0,122603,5198.0,5273
100224,2088.0,285387,9878.0,10108
167100,2785.0,145688,2719.0,2906
41988,3499.0,148545,3460.0,3590
151200,4200.0,77963,2640.0,3120
23628,1969.0,85852,2653.0,2822
21924,609.0,157042,3659.0,3894
120888,3358.0,1204953,85677.0,99107
341280,5688.0,81344,2987.0,2487
86616,7218.0,75637,3475.0,3529
192552,8023.0,70646,1563.0,1542
260400,4340.0,182027,4355.0,4433
29784,1241.0,170449,6041.0,6261
314688,6556.0,88884,2159.0,2674
83280,1735.0,114006,4147.0,4166
116496,4854.0,117897,2112.0,2059
210744,5854.0,197099,4484.0,4265
117420,1957.0,75685,1660.0,2123
217152,6032.0,226122,9672.0,9208
300600,5010.0,67298,1029.0,1127
265320,7370.0,105606,2166.0,2325
465504,9698.0,226122,9672.0,9208
24180,403.0,159617,5796.0,6132
80952,3373.0,1204953,85677.0,99107
179328,3736.0,387570,18721.0,18696
247728,5161.0,1204953,85677.0,99107
99696,2077.0,88757,1822.0,2218
156096,4336.0,103347,2299.0,2354
495180,8253.0,42821,14861.621661721068,1358
130464,2718.0,93931,1874.0,1913
39576,3298.0,1204953,85677.0,99107
189696,7904.0,51428,999.0,1099
165168,4588.0,1204953,85677.0,99107
290700,4845.0,139012,2564.0,2799
155640,6485.0,95616,2616.0,3040
69360,1445.0,75637,3475.0,3529
129408,5392.0,106054,3244.0,3079
30060,501.0,72541,1580.0,1525
47304,1971.0,197099,4484.0,4265
177744,3703.0,161227,4980.0,4595
22932,637.0,139012,2564.0,2799
271584,5658.0,1204953,85677.0,99107
385584,8033.0,72541,1580.0,1525
59760,2490.0,323870,18782.0,18347
76680,3195.0,228848,5623.0,5887
96168,8014.0,197099,4484.0,4265
33984,708.0,197099,4484.0,4265
36684,3057.0,51313,1328.0,1452
87216,1817.0,145688,2719.0,2906
39024,3252.0,197099,4484.0,4265
78720,1640.0,67298,1029.0,1127
151560,6315.0,125832,2247.0,2103
134784,5616.0,285387,9878.0,10108
64656,1347.0,67298,1029.0,1127
174048,3626.0,162580,6079.0,5410
72504,3021.0,122603,5198.0,5273
29448,2454.0,226122,9672.0,9208
51408,2142.0,45714,818.0,888
390000,8125.0,95907,1658.0,1668
421008,8771.0,177686,6604.0,6295
16032,334.0,105058,4340.0,4505
115812,3217.0,93931,1874.0,1913
18324,1527.0,108871,2595.0,2305
63576,5298.0,1204953,85677.0,99107
79920,1332.0,170449,6041.0,6261
117024,4876.0,177686,6604.0,6295
334620,5577.0,139012,2564.0,2799
28248,1177.0,162580,6079.0,5410
71820,1995.0,86513,1562.0,1460
31176,1299.0,1204953,85677.0,99107
187224,7801.0,114200,2157.0,2718
79608,3317.0,105606,2166.0,2325
126600,5275.0,75637,3475.0,3529
266220,4437.0,70646,1563.0,1542
143904,5996.0,107870,3804.0,3868
47016,3918.0,197099,4484.0,4265
68664,2861.0,109164,2212.0,2471
63360,1056.0,75685,1660.0,2123
141648,5902.0,139012,2564.0,2799
76416,3184.0,1204953,85677.0,99107
270384,5633.0,75232,2824.0,2813
272220,4537.0,170449,6041.0,6261
218064,4543.0,1204953,85677.0,99107
141240,5885.0,102609,2123.0,2134
204780,3413.0,387570,18721.0,18696
331584,6908.0,95907,1658.0,1668
444864,9268.0,197099,4484.0,4265
87360,3640.0,85852,2653.0,2822
348120,5802.0,42821,14861.621661721068,1358
94512,7876.0,323870,18782.0,18347
139536,5814.0,117897,2112.0,2059
140880,2348.0,58796,1845.0,1879
55368,2307.0,197099,4484.0,4265
222180,3703.0,45714,818.0,888
91632,7636.0,94725,4289.0,4846
17952,1496.0,133777,4650.0,4859
46176,962.0,145688,2719.0,2906
259740,4329.0,228848,5623.0,5887
39168,1632.0,94725,4289.0,4846
357840,7455.0,387570,18721.0,18696
151728,3161.0,323870,18782.0,18347
96984,2694.0,112065,5179.0,4987
309552,6449.0,226122,9672.0,9208
68400,5700.0,228848,5623.0,5887
154416,3217.0,70699,1740.0,1910
130896,5454.0,85852,2653.0,2822
22104,1842.0,125236,5323.0,5190
160920,4470.0,85852,2653.0,2822
95400,2650.0,75685,1660.0,2123
208320,4340.0,1204953,85677.0,99107
320976,6687.0,1204953,85677.0,99107
165960,6915.0,93931,1874.0,1913
74688,6224.0,87419,2879.0,3198
110736,2307.0,51428,999.0,1099
66432,2768.0,170449,6041.0,6261
43200,1800.0,159617,5796.0,6132
36396,3033.0,1204953,85677.0,99107
347952,7249.0,45714,818.0,888
121896,5079.0,157042,3659.0,3894
148140,4115.0,53921,1597.0,1875
194940,5415.0,112065,5179.0,4987
316140,5269.0,1204953,85677.0,99107
45768,3814.0,106054,3244.0,3079
77184,2144.0,1204953,85677.0,99107
335184,6983.0,106054,3244.0,3079
81144,2254.0,228848,5623.0,5887
80952,3373.0,1204953,85677.0,99107
14028,1169.0,107911,1850.0,1903
156672,4352.0,72541,1580.0,1525
24312,2026.0,93931,1874.0,1913
42384,3532.0,128118,6949.0,6872
249792,5204.0,157042,3659.0,3894
321360,5356.0,122603,5198.0,5273
162468,4513.0,105058,4340.0,4505
174960,7290.0,102609,2123.0,2134
57120,1190.0,105058,4340.0,4505
89880,3745.0,285387,9878.0,10108
165780,2763.0,145688,2719.0,2906
44640,1860.0,108871,2595.0,2305
321936,6707.0,1204953,85677.0,99107
15192,633.0,122603,5198.0,5273
262980,4383.0,53921,1597.0,1875
327660,5461.0,85852,2653.0,2822
210384,4383.0,285387,9878.0,10108
125340,2089.0,1204953,85677.0,99107
41952,3496.0,161854,4085.0,3891
12792,1066.0,124605,2854.0,3158
63972,1777.0,157042,3659.0,3894
91200,3800.0,119895,4947.0,4743
402000,6700.0,149893,5244.0,5892
504000,8400.0,75232,2824.0,2813
55632,2318.0,285387,9878.0,10108
52788,4399.0,58796,1845.0,1879
11400,950.0,387570,18721.0,18696
152160,2536.0,74062,1003.0,1181
45768,3814.0,138032,4063.0,4505
437460,7291.0,228848,5623.0,5887
91632,7636.0,74062,1003.0,1181
323472,6739.0,1204953,85677.0,99107
265320,7370.0,51428,999.0,1099
37908,3159.0,145688,2719.0,2906
288360,4806.0,1204953,85677.0,99107
392460,6541.0,107870,3804.0,3868
20352,424.0,109164,2212.0,2471
468060,7801.0,112709,2854.0,2618
79824,6652.0,53921,1597.0,1875
162624,3388.0,285387,9878.0,10108
428784,8933.0,1204953,85677.0,99107
137880,2298.0,78955,1655.0,1717
232560,4845.0,177686,6604.0,6295
415800,6930.0,1204953,85677.0,99107
86880,7240.0,103347,2299.0,2354
30276,2523.0,103347,2299.0,2354
212400,5900.0,85852,2653.0,2822
74772,2077.0,157042,3659.0,3894
49488,2062.0,161227,4980.0,4595
113544,3154.0,114200,2157.0,2718
307200,5120.0,107911,1850.0,1903
299088,8308.0,106054,3244.0,3079
100260,1671.0,1204953,85677.0,99107
93960,1566.0,77917,2080.0,2122
285600,4760.0,95616,2616.0,3040
154656,3222.0,161227,4980.0,4595
149340,2489.0,105606,2166.0,2325
67464,5622.0,125236,5323.0,5190
41256,3438.0,51428,999.0,1099
88608,7384.0,125832,2247.0,2103
100128,4172.0,323870,18782.0,18347
48096,2004.0,105058,4340.0,4505
